%   log_10 of normalized differential counts per steradian [log(S^{5/2} (dN/dS)), S in Jy]  at  11.00 GHz
% 
% 
% 
% 
% 
%           log S(Jy)     flat-spectrum    steep-spectrum      Total 

            -6.000          -2.009          -2.875          -1.954

            -5.900          -1.952          -2.786          -1.893

            -5.800          -1.896          -2.699          -1.832

            -5.700          -1.840          -2.612          -1.772

            -5.600          -1.784          -2.525          -1.712

            -5.500          -1.729          -2.439          -1.651

            -5.400          -1.673          -2.352          -1.591

            -5.300          -1.618          -2.267          -1.530

            -5.200          -1.563          -2.182          -1.469

            -5.100          -1.508          -2.097          -1.408

            -5.000          -1.453          -2.010          -1.346

            -4.900          -1.398          -1.924          -1.284

            -4.800          -1.343          -1.830          -1.220

            -4.700          -1.288          -1.736          -1.155

            -4.600          -1.232          -1.643          -1.090

            -4.500          -1.177          -1.546          -1.023

            -4.400          -1.122          -1.443          -0.952

            -4.300          -1.066          -1.336          -0.880

            -4.200          -1.011          -1.221          -0.802

            -4.100          -0.955          -1.101          -0.720

            -4.000          -0.898          -0.966          -0.630

            -3.900          -0.842          -0.826          -0.533

            -3.800          -0.785          -0.672          -0.424

            -3.700          -0.728          -0.501          -0.299

            -3.600          -0.670          -0.323          -0.162

            -3.500          -0.612          -0.179          -0.043

            -3.400          -0.554          -0.073           0.051

            -3.300          -0.495           0.018           0.134

            -3.200          -0.435           0.102           0.213

            -3.100          -0.375           0.184           0.290

            -3.000          -0.314           0.263           0.365

            -2.900          -0.253           0.341           0.439

            -2.800          -0.191           0.418           0.514

            -2.700          -0.129           0.495           0.588

            -2.600          -0.065           0.571           0.661

            -2.500          -0.001           0.646           0.734

            -2.400           0.063           0.721           0.808

            -2.300           0.129           0.795           0.880

            -2.200           0.195           0.867           0.951

            -2.100           0.262           0.938           1.021

            -2.000           0.330           1.008           1.091

            -1.900           0.398           1.076           1.159

            -1.800           0.467           1.140           1.224

            -1.700           0.537           1.200           1.286

            -1.600           0.607           1.255           1.343

            -1.500           0.678           1.301           1.394

            -1.400           0.750           1.332           1.433

            -1.300           0.822           1.345           1.459

            -1.200           0.894           1.338           1.471

            -1.100           0.966           1.326           1.483

            -1.000           1.037           1.315           1.499

            -0.900           1.109           1.296           1.514

            -0.800           1.180           1.273           1.530

            -0.700           1.249           1.244           1.548

            -0.600           1.316           1.212           1.568

            -0.500           1.381           1.178           1.592

            -0.400           1.441           1.144           1.619

            -0.300           1.497           1.111           1.646

            -0.200           1.545           1.079           1.673

            -0.100           1.584           1.050           1.696

             0.000           1.612           1.024           1.712

             0.100           1.628           1.000           1.720

             0.200           1.631           0.978           1.718

             0.300           1.621           0.960           1.707

             0.400           1.601           0.944           1.688

             0.500           1.574           0.929           1.663

             0.600           1.543           0.917           1.635

             0.700           1.511           0.907           1.607

             0.800           1.480           0.897           1.581

             0.900           1.453           0.890           1.558

             1.000           1.429           0.882           1.538

             1.100           1.410           0.876           1.521

             1.200           1.394           0.871           1.508

             1.300           1.382           0.867           1.498

             1.400           1.373           0.863           1.490

             1.500           1.366           0.859           1.484

             1.600           1.362           0.857           1.480

             1.700           1.358           0.854           1.477

             1.800           1.357           0.852           1.475

             1.900           1.355           0.850           1.473

             2.000           1.355           0.848           1.472
