%   log_10 of normalized differential counts per steradian [log(S^{5/2} (dN/dS)), S in Jy]  at  20.00 GHz
% 
% 
% 
% 
% 
%           log S(Jy)     flat-spectrum    steep-spectrum      Total 

            -6.000          -2.033          -3.015          -1.990

            -5.900          -1.976          -2.928          -1.930

            -5.800          -1.920          -2.841          -1.871

            -5.700          -1.864          -2.756          -1.812

            -5.600          -1.809          -2.669          -1.753

            -5.500          -1.753          -2.584          -1.693

            -5.400          -1.698          -2.497          -1.634

            -5.300          -1.643          -2.412          -1.574

            -5.200          -1.587          -2.321          -1.514

            -5.100          -1.532          -2.235          -1.454

            -5.000          -1.477          -2.148          -1.393

            -4.900          -1.422          -2.054          -1.331

            -4.800          -1.367          -1.953          -1.267

            -4.700          -1.312          -1.852          -1.202

            -4.600          -1.257          -1.750          -1.136

            -4.500          -1.202          -1.642          -1.067

            -4.400          -1.146          -1.526          -0.995

            -4.300          -1.091          -1.402          -0.918

            -4.200          -1.035          -1.271          -0.836

            -4.100          -0.979          -1.127          -0.745

            -4.000          -0.923          -0.967          -0.643

            -3.900          -0.866          -0.797          -0.529

            -3.800          -0.809          -0.622          -0.405

            -3.700          -0.752          -0.491          -0.301

            -3.600          -0.694          -0.388          -0.214

            -3.500          -0.636          -0.300          -0.135

            -3.400          -0.577          -0.216          -0.059

            -3.300          -0.518          -0.135           0.015

            -3.200          -0.458          -0.056           0.089

            -3.100          -0.398           0.022           0.162

            -3.000          -0.337           0.099           0.234

            -2.900          -0.276           0.175           0.307

            -2.800          -0.214           0.250           0.379

            -2.700          -0.151           0.326           0.451

            -2.600          -0.088           0.400           0.522

            -2.500          -0.024           0.473           0.593

            -2.400           0.041           0.545           0.664

            -2.300           0.107           0.614           0.732

            -2.200           0.173           0.683           0.800

            -2.100           0.241           0.747           0.865

            -2.000           0.309           0.809           0.928

            -1.900           0.377           0.863           0.986

            -1.800           0.446           0.912           1.040

            -1.700           0.516           0.945           1.083

            -1.600           0.587           0.960           1.113

            -1.500           0.658           0.944           1.125

            -1.400           0.729           0.922           1.137

            -1.300           0.801           0.905           1.157

            -1.200           0.873           0.887           1.181

            -1.100           0.945           0.864           1.208

            -1.000           1.017           0.837           1.237

            -0.900           1.088           0.806           1.271

            -0.800           1.159           0.773           1.308

            -0.700           1.228           0.741           1.350

            -0.600           1.294           0.710           1.395

            -0.500           1.358           0.681           1.441

            -0.400           1.417           0.653           1.486

            -0.300           1.471           0.628           1.529

            -0.200           1.517           0.606           1.567

            -0.100           1.554           0.586           1.598

             0.000           1.579           0.569           1.619

             0.100           1.591           0.553           1.629

             0.200           1.590           0.540           1.627

             0.300           1.578           0.528           1.615

             0.400           1.556           0.518           1.594

             0.500           1.527           0.510           1.567

             0.600           1.495           0.501           1.537

             0.700           1.464           0.495           1.508

             0.800           1.434           0.490           1.481

             0.900           1.407           0.485           1.457

             1.000           1.385           0.480           1.436

             1.100           1.366           0.477           1.419

             1.200           1.352           0.474           1.406

             1.300           1.340           0.471           1.396

             1.400           1.332           0.469           1.388

             1.500           1.326           0.467           1.382

             1.600           1.322           0.464           1.379

             1.700           1.319           0.462           1.375

             1.800           1.316           0.461           1.373

             1.900           1.316           0.460           1.373

             2.000           1.316           0.459           1.372
