%   log_10 of normalized differential counts per steradian [log(S^{5/2} (dN/dS)), S in Jy]  at   8.40 GHz
% 
% 
% 
% 
% 
%           log S(Jy)     flat-spectrum    steep-spectrum      Total 

            -6.000          -1.998          -2.816          -1.937

            -5.900          -1.942          -2.725          -1.875

            -5.800          -1.885          -2.637          -1.814

            -5.700          -1.829          -2.550          -1.753

            -5.600          -1.773          -2.462          -1.692

            -5.500          -1.717          -2.375          -1.631

            -5.400          -1.662          -2.289          -1.570

            -5.300          -1.607          -2.203          -1.509

            -5.200          -1.552          -2.118          -1.447

            -5.100          -1.497          -2.033          -1.386

            -5.000          -1.442          -1.947          -1.324

            -4.900          -1.387          -1.860          -1.261

            -4.800          -1.332          -1.774          -1.198

            -4.700          -1.277          -1.680          -1.132

            -4.600          -1.221          -1.586          -1.066

            -4.500          -1.166          -1.493          -0.998

            -4.400          -1.111          -1.396          -0.929

            -4.300          -1.055          -1.293          -0.857

            -4.200          -0.999          -1.186          -0.782

            -4.100          -0.943          -1.071          -0.702

            -4.000          -0.887          -0.951          -0.617

            -3.900          -0.831          -0.816          -0.522

            -3.800          -0.774          -0.679          -0.423

            -3.700          -0.717          -0.521          -0.307

            -3.600          -0.659          -0.351          -0.177

            -3.500          -0.601          -0.172          -0.035

            -3.400          -0.543          -0.029           0.087

            -3.300          -0.484           0.077           0.183

            -3.200          -0.424           0.168           0.267

            -3.100          -0.364           0.252           0.346

            -3.000          -0.304           0.334           0.424

            -2.900          -0.243           0.413           0.499

            -2.800          -0.181           0.491           0.575

            -2.700          -0.118           0.569           0.650

            -2.600          -0.055           0.645           0.724

            -2.500           0.009           0.721           0.798

            -2.400           0.073           0.796           0.872

            -2.300           0.139           0.871           0.945

            -2.200           0.205           0.945           1.018

            -2.100           0.272           1.018           1.090

            -2.000           0.339           1.090           1.161

            -1.900           0.408           1.160           1.231

            -1.800           0.477           1.228           1.299

            -1.700           0.546           1.293           1.365

            -1.600           0.617           1.353           1.426

            -1.500           0.688           1.410           1.485

            -1.400           0.759           1.457           1.536

            -1.300           0.831           1.494           1.579

            -1.200           0.903           1.513           1.609

            -1.100           0.975           1.515           1.625

            -1.000           1.047           1.506           1.636

            -0.900           1.118           1.498           1.649

            -0.800           1.189           1.483           1.661

            -0.700           1.258           1.461           1.672

            -0.600           1.326           1.433           1.684

            -0.500           1.391           1.400           1.697

            -0.400           1.452           1.366           1.712

            -0.300           1.508           1.331           1.729

            -0.200           1.557           1.296           1.747

            -0.100           1.598           1.263           1.763

             0.000           1.627           1.232           1.774

             0.100           1.644           1.204           1.779

             0.200           1.649           1.179           1.776

             0.300           1.640           1.157           1.764

             0.400           1.622           1.137           1.745

             0.500           1.595           1.119           1.720

             0.600           1.564           1.104           1.693

             0.700           1.532           1.091           1.666

             0.800           1.501           1.079           1.641

             0.900           1.473           1.070           1.618

             1.000           1.449           1.061           1.598

             1.100           1.430           1.053           1.582

             1.200           1.413           1.047           1.569

             1.300           1.401           1.042           1.559

             1.400           1.392           1.037           1.550

             1.500           1.385           1.033           1.545

             1.600           1.380           1.029           1.540

             1.700           1.376           1.026           1.537

             1.800           1.375           1.023           1.535

             1.900           1.373           1.021           1.532

             2.000           1.372           1.019           1.532
